Dev_log2_enrichment	Hk_log2_enrichment
2.599462071	1.862496476
0.76121314	0.439285045
5.569855608	4.22881869
1.607682577	0.929610672
2.7589919	3.299560282
-0.374542722	-0.181897643
-0.280956315	-1.017921909
1.979535898	2.342105977
-2.203201156	-1.717774331
-1.992969799	-2.577932303
-0.919657892	1.817307703
1.234465253	3.693896872
-0.350497248	-0.765534747
2.871266686	3.60823228
-0.011972642	1.572989859
1.514573173	2.321928095
-0.711494906	-0.126532406
-0.805636406	-1.583243982
-1.557655155	-0.387730154
4.321928095	4.88582898
-1.521050736	-0.842978832
2.0	2.874469118
0.657238402	-0.480265122
3.235954872	3.130985312
1.425763906	0.577766999
3.35147237	3.633872101
-2.930737337	-2.608809245
-1.635173945	-1.465248946
3.041820176	1.556393349
-0.078294526	-0.319302625
0.879857637	-0.783107377
4.032421477	4.669851398
-0.240314329	1.460125389
-0.897240425	-0.57531233
0.013175389	0.254183488
2.058893689	2.544320516
1.339206086	1.116813665
0.177733368	1.927755115
6.241309635	6.102146887
4.146078259	4.520473774
1.260151897	2.186151316
